"Processing.Date","Harvest.date","Site","Transect","Location","Rep","Name","Nutri","Bag_w","Tube_ID","Dry_w","Notes"
"14-11-2024","12-11-2024","S34","T1","L3","A","S34T1L3A",1.01,12.72,1,6.783,NA
"14-11-2024","12-11-2024","S34","T1","L3","B","S34T1L3B",NA,13.79,1,7.355,NA
"14-11-2024","12-11-2024","S34","T1","L9","A","S34T1L9A",1,12.64,2,8.467,NA
"14-11-2024","12-11-2024","S34","T1","L9","B","S34T1L9B",NA,13.11,2,8.025,NA
"14-11-2024","12-11-2024","S34","T1","L15","A","S34T1L15A",1.02,8.36,3,4.38,NA
"14-11-2024","12-11-2024","S34","T1","L15","B","S34T1L15B",NA,10.09,3,5.275,NA
"14-11-2024","12-11-2024","S34","T1","L33","A","S34T1L33A",1.01,12.53,4,9.288,NA
"14-11-2024","12-11-2024","S34","T1","L33","B","S34T1L33B",NA,13.69,4,8.795,NA
"14-11-2024","12-11-2024","S34","T1","L41","A","S34T1L41A",1.03,12.86,5,9.287,NA
"14-11-2024","12-11-2024","S34","T1","L41","B","S34T1L41B",NA,13.75,5,8.49,NA
"14-11-2024","12-11-2024","S34","T1","L47","A","S34T1L47A",1.05,11.95,6,7.085,NA
"14-11-2024","12-11-2024","S34","T1","L47","B","S34T1L47B",NA,13.76,6,8.358,NA
"14-11-2024","12-11-2024","S34","T2","L3","A","S34T2L3A",1.05,12.82,7,7.191,NA
"14-11-2024","12-11-2024","S34","T2","L3","B","S34T2L3B",NA,NA,7,NA,"No bag retrieved"
"14-11-2024","12-11-2024","S34","T2","L10","A","S34T2L10A",1.04,12.33,8,5.031,NA
"14-11-2024","12-11-2024","S34","T2","L10","B","S34T2L10B",NA,13.73,8,8.299,NA
"14-11-2024","12-11-2024","S34","T2","L16","A","S34T2L16A",1.05,12.52,9,7,NA
"14-11-2024","12-11-2024","S34","T2","L16","B","S34T2L16B",NA,1.14,9,0.589,"D-extreme"
"14-11-2024","12-11-2024","S34","T2","L31","A","S34T2L31A",1.03,12.86,10,8.701,NA
"14-11-2024","12-11-2024","S34","T2","L31","B","S34T2L31B",NA,13.82,10,8.803,NA
"14-11-2024","12-11-2024","S34","T2","L39","A","S34T2L39A",1.02,12.65,11,8.404,NA
"14-11-2024","12-11-2024","S34","T2","L39","B","S34T2L39B",NA,9.23,11,5.28,"D-minor"
"14-11-2024","12-11-2024","S34","T2","L47","A","S34T2L47A",1.06,12.8,12,7.958,NA
"14-11-2024","12-11-2024","S34","T2","L47","B","S34T2L47B",NA,13.64,12,9.51,NA
"14-11-2024","12-11-2024","S12","T1","L3","A","S12T1L3A",1.06,12.15,13,9.6,NA
"14-11-2024","12-11-2024","S12","T1","L3","B","S12T1L3B",NA,13.57,13,10.6,NA
"14-11-2024","12-11-2024","S12","T1","L9","A","S12T1L9A",1,12.55,14,10,NA
"14-11-2024","12-11-2024","S12","T1","L9","B","S12T1L9B",NA,13.96,14,10.9,NA
"14-11-2024","12-11-2024","S12","T1","L16","A","S12T1L16A",1.04,8.54,15,5.63,NA
"14-11-2024","12-11-2024","S12","T1","L16","B","S12T1L16B",NA,13.74,15,10.36,NA
"14-11-2024","12-11-2024","S12","T1","L33","A","S12T1L33A",1.05,13,16,10.94,NA
"14-11-2024","12-11-2024","S12","T1","L33","B","S12T1L33B",NA,13.63,16,11.44,NA
"14-11-2024","12-11-2024","S12","T1","L39","A","S12T1L39A",1.03,12.69,17,10.58,NA
"14-11-2024","12-11-2024","S12","T1","L39","B","S12T1L39B",NA,3.52,17,1.99,"D-major"
"14-11-2024","12-11-2024","S12","T1","L47","A","S12T1L47A",1.02,13.17,18,10.9,NA
"14-11-2024","12-11-2024","S12","T1","L47","B","S12T1L47B",NA,12.18,18,11.37,"D-Minor"
"14-11-2024","12-11-2024","S12","T2","L3","A","S12T2L3A",1.01,12.33,19,8.8,NA
"14-11-2024","12-11-2024","S12","T2","L3","B","S12T2L3B",NA,10.3,19,NA,"OUT OF GROUND"
"14-11-2024","12-11-2024","S12","T2","L9","A","S12T2L9A",1.03,12.07,20,9.7,"(White fungus around)"
"14-11-2024","12-11-2024","S12","T2","L9","B","S12T2L9B",NA,8.74,20,6.6,"D-Mod"
"14-11-2024","12-11-2024","S12","T2","L16","A","S12T2L16A",1.02,9.6,21,7.315,"D-Mod"
"14-11-2024","12-11-2024","S12","T2","L16","B","S12T2L16B",NA,13.04,21,10.2,"D-Minor"
"14-11-2024","12-11-2024","S12","T2","L33","A","S12T2L33A",1.06,12.69,22,10.51,NA
"14-11-2024","12-11-2024","S12","T2","L33","B","S12T2L33B",NA,13.93,22,10.46,NA
"14-11-2024","12-11-2024","S12","T2","L39","A","S12T2L39A",1.07,9.7,23,7.78,"D-Major"
"14-11-2024","12-11-2024","S12","T2","L39","B","S12T2L39B",NA,4.8,23,2.78,"D-Extreme"
"14-11-2024","12-11-2024","S12","T2","L47","A","S12T2L47A",1.06,9.2,24,7.29,NA
"14-11-2024","12-11-2024","S12","T2","L47","B","S12T2L47B",NA,13.65,24,10.3,NA
"14-11-2024","12-11-2024","S10","T1","L3","A","S10T1L3A",1.04,12.57,25,NA,"NON recoverable dry weight (error in the oven)"
"14-11-2024","12-11-2024","S10","T1","L3","B","S10T1L3B",NA,13.1,25,NA,"NON recoverable dry weight (error in the oven)"
"14-11-2024","12-11-2024","S10","T1","L10","A","S10T1L10A",1.02,8.7,26,4.35,"recovered from oven error"
"14-11-2024","12-11-2024","S10","T1","L10","B","S10T1L10B",NA,13.56,26,7,"recovered from oven error"
"14-11-2024","12-11-2024","S10","T1","L16","A","S10T1L16A",1.06,9.89,27,5.4,"D-Minor"
"14-11-2024","12-11-2024","S10","T1","L16","B","S10T1L16B",NA,13.33,27,7.25,NA
"14-11-2024","12-11-2024","S10","T1","L33","A","S10T1L33A",1.05,12.75,28,6.68,NA
"14-11-2024","12-11-2024","S10","T1","L33","B","S10T1L33B",NA,9.57,28,4.85,"D-Major(Dirt)"
"14-11-2024","12-11-2024","S10","T1","L39","A","S10T1L39A",1,12.69,29,6.57,"D-Minor"
"14-11-2024","12-11-2024","S10","T1","L39","B","S10T1L39B",NA,10.29,29,5.36,NA
"14-11-2024","12-11-2024","S10","T1","L47","A","S10T1L47A",1.03,12.5,30,6.5,NA
"14-11-2024","12-11-2024","S10","T1","L47","B","S10T1L47B",NA,10.69,30,5.57,NA
"14-11-2024","12-11-2024","S10","T2","L3","A","S10T2L3A",1,12.6,31,6.63,NA
"14-11-2024","12-11-2024","S10","T2","L3","B","S10T2L3B",NA,6.8,31,3.38,"D-Mod"
"14-11-2024","12-11-2024","S10","T2","L10","A","S10T2L10A",1,9.47,32,4.85,NA
"14-11-2024","12-11-2024","S10","T2","L10","B","S10T2L10B",NA,13.84,32,7.25,NA
"14-11-2024","12-11-2024","S10","T2","L15","A","S10T2L15A",1,12.64,33,6.7,"D-Minor"
"14-11-2024","12-11-2024","S10","T2","L15","B","S10T2L15B",NA,10.31,33,5.31,NA
"14-11-2024","12-11-2024","S10","T2","L33","A","S10T2L33A",1,13,34,6.83,NA
"14-11-2024","12-11-2024","S10","T2","L33","B","S10T2L33B",NA,13.43,34,6.87,NA
"14-11-2024","12-11-2024","S10","T2","L39","A","S10T2L39A",1.03,12.35,35,6.51,NA
"14-11-2024","12-11-2024","S10","T2","L39","B","S10T2L39B",NA,13.52,35,7.17,"D-Minor"
"14-11-2024","12-11-2024","S10","T2","L47","A","S10T2L47A",1.02,11.21,36,5.82,"D-Minor"
"14-11-2024","12-11-2024","S10","T2","L47","B","S10T2L47B",NA,4.6,36,2.36,"D-Mod"
"14-11-2024","12-11-2024","S26","T1","L3","A","S26T1L3A",1,10.05,37,5.14,NA
"14-11-2024","12-11-2024","S26","T1","L3","B","S26T1L3B",NA,10.43,37,5.23,NA
"14-11-2024","12-11-2024","S26","T1","L10","A","S26T1L10A",1,11.63,38,6.04,NA
"14-11-2024","12-11-2024","S26","T1","L10","B","S26T1L10B",NA,13.45,38,6.97,NA
"14-11-2024","12-11-2024","S26","T1","L16","A","S26T1L16A",1.02,12.62,39,6.56,NA
"14-11-2024","12-11-2024","S26","T1","L16","B","S26T1L16B",NA,13.38,39,6.93,NA
"14-11-2024","12-11-2024","S26","T1","L33","A","S26T1L33A",1.06,12.58,40,6.64,NA
"14-11-2024","12-11-2024","S26","T1","L33","B","S26T1L33B",NA,12.72,40,6.61,NA
"14-11-2024","12-11-2024","S26","T1","L39","A","S26T1L39A",1,8.73,41,4.45,NA
"14-11-2024","12-11-2024","S26","T1","L39","B","S26T1L39B",NA,11.17,41,5.75,"D-Mod"
"14-11-2024","12-11-2024","S26","T1","L47","A","S26T1L47A",1.02,12,42,6.28,NA
"14-11-2024","12-11-2024","S26","T1","L47","B","S26T1L47B",NA,12,42,6.35,"D-Minor"
"14-11-2024","12-11-2024","S26","T2","L3","A","S26T2L3A",1.03,9.7,43,4.94,NA
"14-11-2024","12-11-2024","S26","T2","L3","B","S26T2L3B",NA,13.75,43,7.2,NA
"14-11-2024","12-11-2024","S26","T2","L10","A","S26T2L10A",1.01,12.56,44,6.46,NA
"14-11-2024","12-11-2024","S26","T2","L10","B","S26T2L10B",NA,NA,44,NA,"No bag retrieved"
"14-11-2024","12-11-2024","S26","T2","L16","A","S26T2L16A",1,9.54,45,4.85,NA
"14-11-2024","12-11-2024","S26","T2","L16","B","S26T2L16B",NA,13.73,45,7.13,NA
"14-11-2024","12-11-2024","S26","T2","L33","A","S26T2L33A",1.02,8.3,46,4.24,"D- Extreme"
"14-11-2024","12-11-2024","S26","T2","L33","B","S26T2L33B",NA,1.81,46,1.01,"D- Extreme (No bag)"
"14-11-2024","12-11-2024","S26","T2","L39","A","S26T2L39A",1.03,12.52,47,6.27,NA
"14-11-2024","12-11-2024","S26","T2","L39","B","S26T2L39B",NA,8.33,47,4.2,"D-Major"
"14-11-2024","12-11-2024","S26","T2","L47","A","S26T2L47A",1,11.36,48,5.74,NA
"14-11-2024","12-11-2024","S26","T2","L47","B","S26T2L47B",NA,11.53,48,5.9,"D-Mod"
"14-11-2024","13-11-2024","S8","T1","L3","A","S8T1L3A",1.03,12.5,49,6.38,NA
"14-11-2024","13-11-2024","S8","T1","L3","B","S8T1L3B",NA,13.77,49,6.98,NA
"14-11-2024","13-11-2024","S8","T1","L10","A","S8T1L10A",1,12.71,50,6.5,NA
"14-11-2024","13-11-2024","S8","T1","L10","B","S8T1L10B",NA,13.54,50,6.96,NA
"14-11-2024","13-11-2024","S8","T1","L16","A","S8T1L16A",1.06,12.59,51,6.41,NA
"14-11-2024","13-11-2024","S8","T1","L16","B","S8T1L16B",NA,13.13,51,6.69,"D-Mod"
"14-11-2024","13-11-2024","S8","T1","L33","A","S8T1L33A",1.03,12.19,52,6.36,"(dirty)"
"14-11-2024","13-11-2024","S8","T1","L33","B","S8T1L33B",NA,14.45,52,7.38,"(dirty)"
"14-11-2024","13-11-2024","S8","T1","L39","A","S8T1L39A",1,12.42,53,6.35,NA
"14-11-2024","13-11-2024","S8","T1","L39","B","S8T1L39B",NA,9.62,53,4.86,NA
"14-11-2024","13-11-2024","S8","T1","L47","A","S8T1L47A",1,12.58,54,6.4,NA
"14-11-2024","13-11-2024","S8","T1","L47","B","S8T1L47B",NA,12.38,54,6.27,NA
"14-11-2024","13-11-2024","S8","T2","L3","A","S8T2L3A",1,12.6,55,6.46,NA
"14-11-2024","13-11-2024","S8","T2","L3","B","S8T2L3B",NA,13.5,55,6.9,NA
"14-11-2024","13-11-2024","S8","T2","L10","A","S8T2L10A",1.03,12.48,56,6.4,NA
"14-11-2024","13-11-2024","S8","T2","L10","B","S8T2L10B",NA,13.6,56,6.97,NA
"14-11-2024","13-11-2024","S8","T2","L16","A","S8T2L16A",1.03,12.04,57,6.17,NA
"14-11-2024","13-11-2024","S8","T2","L16","B","S8T2L16B",NA,12.75,57,6.47,NA
"14-11-2024","13-11-2024","S8","T2","L33","A","S8T2L33A",1,12.72,58,6.44,NA
"14-11-2024","13-11-2024","S8","T2","L33","B","S8T2L33B",NA,13.92,58,6.87,NA
"14-11-2024","13-11-2024","S8","T2","L39","A","S8T2L39A",1,12.89,59,6.59,NA
"14-11-2024","13-11-2024","S8","T2","L39","B","S8T2L39B",NA,13.65,59,7.14,NA
"14-11-2024","13-11-2024","S8","T2","L47","A","S8T2L47A",1.02,12.25,60,6.13,NA
"14-11-2024","13-11-2024","S8","T2","L47","B","S8T2L47B",NA,2.79,60,1.36,"D-Mod"
"14-11-2024","13-11-2024","S7","T1","L3","A","S7T1L3A",1.05,12.58,61,6.68,NA
"14-11-2024","13-11-2024","S7","T1","L3","B","S7T1L3B",NA,12.93,61,6.54,NA
"14-11-2024","13-11-2024","S7","T1","L10","A","S7T1L10A",1,12.61,62,6.5,NA
"14-11-2024","13-11-2024","S7","T1","L10","B","S7T1L10B",NA,13.68,62,7.12,NA
"14-11-2024","13-11-2024","S7","T1","L16","A","S7T1L16A",1.06,12.62,63,6.46,NA
"14-11-2024","13-11-2024","S7","T1","L16","B","S7T1L16B",NA,13.7,63,7.01,NA
"14-11-2024","13-11-2024","S7","T1","L33","A","S7T1L33A",1,12.7,64,6.51,NA
"14-11-2024","13-11-2024","S7","T1","L33","B","S7T1L33B",NA,13.6,64,6.61,NA
"14-11-2024","13-11-2024","S7","T1","L39","A","S7T1L39A",1.02,12.92,65,6.65,NA
"14-11-2024","13-11-2024","S7","T1","L39","B","S7T1L39B",NA,13.8,65,7.07,NA
"14-11-2024","13-11-2024","S7","T1","L47","A","S7T1L47A",1.05,12.54,66,6.44,NA
"14-11-2024","13-11-2024","S7","T1","L47","B","S7T1L47B",NA,13.62,66,6.88,NA
"14-11-2024","13-11-2024","S7","T2","L3","A","S7T2L3A",1,10.61,67,5.42,NA
"14-11-2024","13-11-2024","S7","T2","L3","B","S7T2L3B",NA,11.62,67,5.76,"D-minor"
"14-11-2024","13-11-2024","S7","T2","L10","A","S7T2L10A",1.04,12.14,68,6.22,NA
"14-11-2024","13-11-2024","S7","T2","L10","B","S7T2L10B",NA,13.38,68,6.73,NA
"14-11-2024","13-11-2024","S7","T2","L16","A","S7T2L16A",1.04,12.35,69,6.39,NA
"14-11-2024","13-11-2024","S7","T2","L16","B","S7T2L16B",NA,14.1,69,7.24,NA
"14-11-2024","13-11-2024","S7","T2","L33","A","S7T2L33A",1.03,12.64,70,6.43,NA
"14-11-2024","13-11-2024","S7","T2","L33","B","S7T2L33B",NA,14.18,70,7.26,NA
"14-11-2024","13-11-2024","S7","T2","L39","A","S7T2L39A",1.05,12.87,71,6.49,NA
"14-11-2024","13-11-2024","S7","T2","L39","B","S7T2L39B",NA,13.22,71,6.69,NA
"14-11-2024","13-11-2024","S7","T2","L47","A","S7T2L47A",1.06,13.1,72,6.69,NA
"14-11-2024","13-11-2024","S7","T2","L47","B","S7T2L47B",NA,13.8,72,7.15,NA
